Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel')]",3665,1186,0.32368995633187775,1491,1186,0.795439302481556,0.4601357904946654,3665,2583,0.704774897680764
2,"[('medium_protein', 'HasProteinLevel')]",1297,425,0.3279320987654321,1491,425,0.28504359490274983,0.30498744169357733,1297,384,0.29606784888203547
3,"[('high_protein', 'HasProteinLevel')]",1792,919,0.5134078212290503,1491,919,0.6163648558014755,0.5601950624809509,1792,1041,0.5809151785714286
4,"[('low_carb', 'HasCarbLevel')]",4660,1213,0.26046811251878893,1491,1213,0.8135479543930249,0.3945998698763826,4660,3470,0.7446351931330472
5,"[('medium_carb', 'HasCarbLevel')]",1610,566,0.3515527950310559,1491,566,0.3796109993293092,0.36504353434376013,1610,606,0.3763975155279503
6,"[('high_carb', 'HasCarbLevel')]",484,275,0.5681818181818182,1491,275,0.18443997317236754,0.2784810126582279,484,132,0.2727272727272727
7,"[('low_fat', 'HasFatLevel')]",2550,900,0.35307963907414674,1491,900,0.6036217303822937,0.44554455445544555,2550,1400,0.5490196078431373
8,"[('medium_fat', 'HasFatLevel')]",2754,816,0.2964039229930984,1491,816,0.5472837022132797,0.38454288407163056,2754,1417,0.5145243282498184
9,"[('high_fat', 'HasFatLevel')]",1450,786,0.5424430641821946,1491,786,0.5271629778672032,0.5346938775510204,1450,775,0.5344827586206896
10,"[('low_fiber', 'HasFiberLevel')]",4984,1063,0.21341096165428627,1491,1063,0.7129443326626426,0.3284919653893696,4984,3660,0.7343499197431782
11,"[('medium_fiber', 'HasFiberLevel')]",1164,400,0.3436426116838488,1491,400,0.2682763246143528,0.30131826741996237,1164,321,0.2757731958762887
12,"[('high_fiber', 'HasFiberLevel')]",606,210,0.34710743801652894,1491,210,0.14084507042253522,0.200381679389313,606,85,0.14026402640264027
13,"[('low_sodium', 'HasSodiumLevel')]",2768,942,0.3403179190751445,1491,942,0.6317907444668008,0.44235736088283634,2768,1603,0.5791184971098265
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,757,0.29239088451139433,1491,757,0.5077129443326627,0.37107843137254903,2590,1245,0.4806949806949807
15,"[('high_sodium', 'HasSodiumLevel')]",1396,654,0.46881720430107526,1491,654,0.4386317907444668,0.4532224532224532,1396,629,0.4505730659025788
16,"[('low_sugar', 'HasSugarLevel')]",3880,1067,0.27507089456045375,1491,1067,0.715627095908786,0.3973929236499069,3880,2503,0.6451030927835052
17,"[('medium_sugar', 'HasSugarLevel')]",1096,364,0.33211678832116787,1491,364,0.24413145539906103,0.28140703517587945,1096,290,0.2645985401459854
18,"[('high_sugar', 'HasSugarLevel')]",1778,796,0.44769403824521936,1491,796,0.533869885982562,0.4869990822881615,1778,908,0.5106861642294713
19,"[('low_cholesterol', 'HasCholesterolLevel')]",3715,1139,0.306677436725902,1491,1139,0.7639168343393695,0.4376560999039385,3715,2572,0.692328398384926
20,"[('medium_cholesterol', 'HasCholesterolLevel')]",1511,537,0.35562913907284766,1491,537,0.36016096579476864,0.3578807064311896,1511,543,0.35936465916611515
21,"[('high_cholesterol', 'HasCholesterolLevel')]",1528,762,0.49901768172888017,1491,762,0.5110663983903421,0.5049701789264412,1528,777,0.5085078534031413
22,"[('low_calorie', 'HasCalorieLevel')]",3928,1199,0.3053998981151299,1491,1199,0.8041582830315225,0.4426804504338195,3928,2839,0.7227596741344195
23,"[('medium_calorie', 'HasCalorieLevel')]",2349,837,0.3563218390804598,1491,837,0.5613682092555332,0.4359375,2349,1222,0.5202213707960834
24,"[('high_calorie', 'HasCalorieLevel')]",477,274,0.5756302521008403,1491,274,0.18376928236083165,0.27859684799186574,477,126,0.2641509433962264
25,"[('breakfast', 'isForMealType')]",552,157,0.28442028985507245,1491,157,0.10529845741113347,0.15369554576603037,552,79,0.1431159420289855
26,"[('lunch', 'isForMealType')]",1014,338,0.3333333333333333,1491,338,0.2266934942991281,0.2698602794411178,1014,240,0.23668639053254437
27,"[('dinner', 'isForMealType')]",958,380,0.39707419017763845,1491,380,0.25486250838363517,0.31045751633986934,958,273,0.2849686847599165
28,"[('snack', 'isForMealType')]",839,217,0.25894988066825775,1491,217,0.14553990610328638,0.1863460712752254,839,134,0.15971394517282478
29,"[('dessert', 'isForMealType')]",1019,500,0.49067713444553485,1491,500,0.335345405767941,0.398406374501992,1019,383,0.3758586849852797
30,"[('starter', 'isForMealType')]",1147,420,0.36649214659685864,1491,420,0.28169014084507044,0.3185437997724687,1147,332,0.28945074106364427
31,"[('brunch', 'isForMealType')]",774,228,0.29457364341085274,1491,228,0.1529175050301811,0.20132450331125828,774,130,0.16795865633074936
32,"[('drink', 'isForMealType')]",451,278,0.6164079822616408,1491,278,0.18645204560697518,0.286302780638517,451,106,0.23503325942350334
33,"[('vegetarian', 'hasDietType')]",1894,555,0.2930306230200634,1491,555,0.3722334004024145,0.32791728212703103,1894,691,0.3648363252375924
34,"[('vegan', 'hasDietType')]",1564,559,0.35764555342290466,1491,559,0.374916163648558,0.3660772757039948,1564,580,0.37084398976982097
35,"[('paleo', 'hasDietType')]",407,260,0.6388206388206388,1491,260,0.1743796109993293,0.273972602739726,407,104,0.25552825552825553
36,"[('standard', 'hasDietType')]",1862,570,0.3066164604626143,1491,570,0.3822937625754527,0.3402985074626866,1862,697,0.374328678839957
37,"[('global', 'isFromRegion')]",1260,401,0.31850675138999207,1491,401,0.26894701542588867,0.29163636363636364,1260,338,0.26825396825396824
38,"[('asia', 'isFromRegion')]",799,227,0.28410513141426785,1491,227,0.1522468142186452,0.1982532751091703,799,123,0.1539424280350438
39,"[('north_america', 'isFromRegion')]",1720,471,0.2741559953434226,1491,471,0.3158953722334004,0.29354939233406047,1720,524,0.30465116279069765
40,"[('europe', 'isFromRegion')]",1273,334,0.2623723487824038,1491,334,0.22401073105298458,0.24167872648335745,1273,286,0.2246661429693637
41,"[('middle_east', 'isFromRegion')]",487,146,0.2997946611909651,1491,146,0.09792085848423876,0.14762386248736095,487,50,0.1026694045174538
42,"[('latin_america_and_caribbean', 'isFromRegion')]",341,113,0.3313782991202346,1491,113,0.07578806170355466,0.12336244541484716,341,29,0.08504398826979472
43,"[('oceania', 'isFromRegion')]",476,146,0.3067226890756303,1491,146,0.09792085848423876,0.14844941535332995,476,52,0.1092436974789916
44,"[('africa', 'isFromRegion')]",398,125,0.314070351758794,1491,125,0.08383635144198524,0.13234515616728426,398,41,0.10301507537688442
45,"[('less_than_60_mins', 'needTimeToCook')]",1501,372,0.24783477681545638,1491,372,0.24949698189134809,0.2486631016042781,1501,373,0.24850099933377748
46,"[('less_than_15_mins', 'needTimeToCook')]",1052,301,0.28612167300380226,1491,301,0.20187793427230047,0.2367282736924892,1052,226,0.21482889733840305
47,"[('less_than_30_mins', 'needTimeToCook')]",1423,330,0.23190442726633873,1491,330,0.22132796780684105,0.22649279341111872,1423,320,0.22487702037947996
