Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,256,0.08770126755738267,342,256,0.7485380116959064,0.15700705305121126,2920,1723,0.5900684931506849
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,75,0.11398176291793313,342,75,0.21929824561403508,0.15,658,135,0.20516717325227962
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,22,0.25287356321839083,342,22,0.06432748538011696,0.10256410256410256,87,8,0.09195402298850575
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,55,0.08540372670807453,342,55,0.1608187134502924,0.11156186612576063,645,105,0.16279069767441862
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,48,0.0935672514619883,342,48,0.14035087719298245,0.11228070175438595,513,77,0.15009746588693956
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,22,0.15827338129496402,342,22,0.06432748538011696,0.09147609147609147,139,10,0.07194244604316546
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,161,0.14716636197440586,342,161,0.47076023391812866,0.22423398328690808,1095,404,0.3689497716894977
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,87,0.19817767653758542,342,87,0.2543859649122807,0.22279129321382843,439,98,0.22323462414578588
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,45,0.1744186046511628,342,45,0.13157894736842105,0.15,258,36,0.13953488372093023
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,221,0.10559006211180125,342,221,0.6461988304093568,0.18151950718685836,2093,1083,0.517439082656474
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,115,0.08550185873605948,342,115,0.3362573099415205,0.13633669235328985,1346,376,0.27934621099554235
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,15,0.06637168141592921,342,15,0.043859649122807015,0.0528169014084507,226,11,0.048672566371681415
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,21,0.06907894736842106,342,21,0.06140350877192982,0.065015479876161,304,17,0.05592105263157895
14,"[('medium_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",718,96,0.13370473537604458,342,96,0.2807017543859649,0.18113207547169813,718,163,0.22701949860724233
15,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",275,31,0.11272727272727273,342,31,0.09064327485380116,0.10048622366288493,275,26,0.09454545454545454
16,"[('high_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",153,22,0.14473684210526316,342,22,0.06432748538011696,0.08906882591093117,153,8,0.05228758169934641
17,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",690,83,0.12028985507246377,342,83,0.24269005847953215,0.16085271317829458,690,142,0.20579710144927535
18,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",949,204,0.21518987341772153,342,204,0.5964912280701754,0.31627906976744186,949,436,0.4594309799789252
19,"[('low_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",3130,197,0.06295941195270055,342,197,0.5760233918128655,0.11351195620858544,3130,1683,0.5376996805111821
20,"[('low_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",466,46,0.09871244635193133,342,46,0.13450292397660818,0.11386138613861385,466,59,0.12660944206008584
21,"[('low_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",69,8,0.11594202898550725,342,8,0.023391812865497075,0.0389294403892944,69,0,0.0
22,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",772,67,0.08690012970168612,342,67,0.195906432748538,0.12039532794249774,772,142,0.18393782383419688
23,"[('medium_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",335,41,0.12238805970149254,342,41,0.11988304093567251,0.12112259970457902,335,41,0.12238805970149254
24,"[('medium_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",190,20,0.10526315789473684,342,20,0.05847953216374269,0.07518796992481203,190,11,0.05789473684210526
25,"[('high_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",1082,157,0.1452358926919519,342,157,0.4590643274853801,0.22066057624736474,1082,392,0.36229205175600737
26,"[('high_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",363,62,0.17079889807162535,342,62,0.18128654970760233,0.17588652482269504,363,68,0.18732782369146006
27,"[('high_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",347,50,0.14450867052023122,342,50,0.14619883040935672,0.1453488372093023,347,52,0.14985590778097982
28,"[('low_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",2179,219,0.1005048187241854,342,219,0.6403508771929824,0.1737405791352638,2179,1151,0.5282239559430931
29,"[('low_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",1250,103,0.08246597277822258,342,103,0.30116959064327486,0.12947831552482716,1250,329,0.2632
30,"[('low_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",236,13,0.05508474576271186,342,13,0.038011695906432746,0.04498269896193772,236,5,0.0211864406779661
31,"[('medium_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",348,41,0.11781609195402298,342,41,0.11988304093567251,0.11884057971014492,348,41,0.11781609195402298
32,"[('medium_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",662,66,0.09969788519637462,342,66,0.19298245614035087,0.13147410358565736,662,125,0.18882175226586104
33,"[('medium_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",287,33,0.11498257839721254,342,33,0.09649122807017543,0.10492845786963434,287,24,0.08362369337979095
34,"[('high_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",241,26,0.1078838174273859,342,26,0.07602339181286549,0.08919382504288165,241,17,0.07053941908713693
35,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",678,92,0.13569321533923304,342,92,0.26900584795321636,0.1803921568627451,678,161,0.2374631268436578
36,"[('high_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",873,166,0.19036697247706422,342,166,0.4853801169590643,0.27347611202635913,873,354,0.4054982817869416
37,"[('low_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1969,145,0.07364144235652616,342,145,0.4239766081871345,0.1254868022501082,1969,699,0.35500253936008125
38,"[('low_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",561,47,0.08377896613190731,342,47,0.13742690058479531,0.10409745293466226,561,71,0.1265597147950089
39,"[('low_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",1135,155,0.13656387665198239,342,155,0.45321637426900585,0.20988490182802982,1135,417,0.3674008810572687
40,"[('medium_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",786,61,0.07770700636942675,342,61,0.1783625730994152,0.1082519964507542,786,148,0.18829516539440203
41,"[('medium_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",189,28,0.14814814814814814,342,28,0.08187134502923976,0.10546139359698681,189,11,0.0582010582010582
42,"[('medium_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",322,41,0.12732919254658384,342,41,0.11988304093567251,0.12349397590361445,322,39,0.12111801242236025
43,"[('high_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1125,171,0.152,342,171,0.5,0.2331288343558282,1125,457,0.4062222222222222
44,"[('high_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",346,62,0.1791907514450867,342,62,0.18128654970760233,0.18023255813953487,346,62,0.1791907514450867
45,"[('high_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",321,76,0.2367601246105919,342,76,0.2222222222222222,0.22926093514328807,321,74,0.23052959501557632
46,"[('low_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",2891,263,0.09100346020761246,342,263,0.7690058479532164,0.16274752475247525,2891,1821,0.6298858526461432
47,"[('low_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",635,60,0.09448818897637795,342,60,0.17543859649122806,0.12282497441146367,635,98,0.15433070866141732
48,"[('low_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",139,5,0.03597122302158273,342,5,0.014619883040935672,0.020790020790020788,139,3,0.02158273381294964
49,"[('medium_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",591,43,0.0727580372250423,342,43,0.12573099415204678,0.09217577706323687,591,79,0.13367174280879865
50,"[('medium_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",406,48,0.11822660098522167,342,48,0.14035087719298245,0.12834224598930483,406,55,0.1354679802955665
51,"[('medium_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",300,30,0.1,342,30,0.08771929824561403,0.09345794392523364,300,22,0.07333333333333333
52,"[('high_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",233,19,0.0815450643776824,342,19,0.05555555555555555,0.06608695652173911,233,13,0.055793991416309016
53,"[('high_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",470,70,0.14925373134328357,342,70,0.2046783625730994,0.17262638717632553,470,86,0.1829787234042553
54,"[('high_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",1089,206,0.18933823529411764,342,206,0.6023391812865497,0.2881118881118881,1089,511,0.4692378328741965
55,"[('low_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",3086,275,0.08914100486223663,342,275,0.804093567251462,0.16049022468631455,3086,1989,0.6445236552171095
56,"[('low_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",534,39,0.07303370786516854,342,39,0.11403508771929824,0.08904109589041097,534,66,0.12359550561797752
57,"[('low_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",45,5,0.1111111111111111,342,5,0.014619883040935672,0.025839793281653745,45,0,0.0
58,"[('medium_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",571,55,0.09632224168126094,342,55,0.1608187134502924,0.12048192771084336,571,90,0.15761821366024517
59,"[('medium_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",674,69,0.10237388724035608,342,69,0.20175438596491227,0.1358267716535433,674,131,0.1943620178041543
60,"[('medium_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",52,3,0.057692307692307696,342,3,0.008771929824561403,0.015228426395939085,52,1,0.019230769230769232
61,"[('high_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",271,36,0.13333333333333333,342,36,0.10526315789473684,0.11764705882352941,271,27,0.0996309963099631
62,"[('high_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",1141,154,0.13496932515337423,342,154,0.4502923976608187,0.20768712070128115,1141,463,0.4057843996494303
63,"[('high_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",380,86,0.22691292875989447,342,86,0.25146198830409355,0.23855755894590844,380,93,0.24473684210526317
64,"[('low_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",271,33,0.12177121771217712,342,33,0.09649122807017543,0.10766721044045678,271,25,0.09225092250922509
65,"[('low_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",384,32,0.08333333333333333,342,32,0.0935672514619883,0.0881542699724518,384,35,0.09114583333333333
66,"[('low_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",204,16,0.0784313725490196,342,16,0.04678362573099415,0.05860805860805861,204,11,0.05392156862745098
67,"[('low_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",492,41,0.08333333333333333,342,41,0.11988304093567251,0.09832134292565947,492,58,0.11788617886178862
68,"[('low_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",793,97,0.1223203026481715,342,97,0.28362573099415206,0.17092511013215858,793,218,0.27490542244640603
69,"[('low_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",710,79,0.11126760563380282,342,79,0.2309941520467836,0.15019011406844107,710,148,0.2084507042253521
70,"[('low_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",406,32,0.07881773399014778,342,32,0.0935672514619883,0.0855614973262032,406,38,0.09359605911330049
71,"[('low_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",405,90,0.2222222222222222,342,90,0.2631578947368421,0.24096385542168675,405,104,0.25679012345679014
72,"[('medium_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",159,17,0.1069182389937107,342,17,0.049707602339181284,0.06786427145708582,159,11,0.06918238993710692
73,"[('medium_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",271,28,0.1033210332103321,342,28,0.08187134502923976,0.09135399673735727,271,17,0.06273062730627306
74,"[('medium_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",132,20,0.15151515151515152,342,20,0.05847953216374269,0.08438818565400844,132,7,0.05303030303030303
75,"[('medium_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",179,16,0.0898876404494382,342,16,0.04678362573099415,0.06153846153846153,179,12,0.0670391061452514
76,"[('medium_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",165,29,0.17575757575757575,342,29,0.0847953216374269,0.11439842209072977,165,15,0.09090909090909091
77,"[('medium_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",199,39,0.19597989949748743,342,39,0.11403508771929824,0.14417744916820702,199,25,0.12562814070351758
78,"[('medium_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",155,16,0.1032258064516129,342,16,0.04678362573099415,0.06438631790744467,155,6,0.03870967741935484
79,"[('medium_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",37,7,0.1891891891891892,342,7,0.02046783625730994,0.036939313984168866,37,1,0.02702702702702703
80,"[('high_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",122,20,0.16393442622950818,342,20,0.05847953216374269,0.08620689655172413,122,8,0.06557377049180328
81,"[('high_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",359,64,0.17827298050139276,342,64,0.1871345029239766,0.1825962910128388,359,64,0.17827298050139276
82,"[('high_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",622,88,0.14170692431561996,342,88,0.2573099415204678,0.18276220145379024,622,169,0.2717041800643087
83,"[('high_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",168,20,0.11904761904761904,342,20,0.05847953216374269,0.0784313725490196,168,9,0.05357142857142857
