Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,342,0.1171634121274409,342,342,1.0,0.20975160993560255,2920,2785,0.9537671232876712
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,290,0.44072948328267475,342,290,0.847953216374269,0.58,658,538,0.817629179331307
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,61,0.7011494252873564,342,61,0.1783625730994152,0.28438228438228436,87,25,0.28735632183908044
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,138,0.21428571428571427,342,138,0.40350877192982454,0.2799188640973631,645,248,0.38449612403100775
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,92,0.1793372319688109,342,92,0.26900584795321636,0.2152046783625731,513,149,0.290448343079922
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,27,0.19424460431654678,342,27,0.07894736842105263,0.11226611226611224,139,6,0.04316546762589928
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,277,0.253199268738574,342,277,0.8099415204678363,0.38579387186629527,1095,832,0.7598173515981735
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,175,0.39863325740318906,342,175,0.5116959064327485,0.44814340588988477,439,211,0.4806378132118451
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,109,0.42248062015503873,342,109,0.31871345029239767,0.36333333333333334,258,84,0.32558139534883723
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,341,0.1629240324892499,342,341,0.9970760233918129,0.280082135523614,2093,1911,0.9130434782608695
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,308,0.22899628252788104,342,308,0.9005847953216374,0.3651452282157676,1346,1016,0.7548291233283804
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,116,0.5132743362831859,342,116,0.3391812865497076,0.40845070422535207,226,79,0.3495575221238938
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,210,0.6907894736842105,342,210,0.6140350877192983,0.65015479876161,304,190,0.625
14,"[('medium_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",718,115,0.16016713091922005,342,115,0.3362573099415205,0.2169811320754717,718,231,0.32172701949860727
15,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",275,38,0.13818181818181818,342,38,0.1111111111111111,0.12317666126418153,275,27,0.09818181818181818
16,"[('high_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",153,135,0.8881578947368421,342,135,0.39473684210526316,0.5465587044534413,153,86,0.5620915032679739
17,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",690,147,0.21304347826086956,342,147,0.4298245614035088,0.28488372093023256,690,267,0.3869565217391304
18,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",949,229,0.24156118143459915,342,229,0.6695906432748538,0.3550387596899225,949,615,0.6480505795574288
19,"[('low_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",3130,324,0.10354745925215723,342,324,0.9473684210526315,0.18668971477960242,3130,2742,0.876038338658147
20,"[('low_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",466,70,0.15021459227467812,342,70,0.2046783625730994,0.17326732673267328,466,88,0.1888412017167382
21,"[('low_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",69,15,0.21739130434782608,342,15,0.043859649122807015,0.072992700729927,69,4,0.057971014492753624
22,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",772,100,0.1297016861219196,342,100,0.29239766081871343,0.17969451931716085,772,214,0.2772020725388601
23,"[('medium_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",335,34,0.10149253731343283,342,34,0.09941520467836257,0.10044313146233383,335,34,0.10149253731343283
24,"[('medium_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",190,30,0.15789473684210525,342,30,0.08771929824561403,0.11278195488721804,190,24,0.12631578947368421
25,"[('high_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",1082,247,0.22849213691026826,342,247,0.7222222222222222,0.34715390021082215,1082,690,0.6377079482439926
26,"[('high_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",363,102,0.2809917355371901,342,102,0.2982456140350877,0.28936170212765955,363,105,0.2892561983471074
27,"[('high_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",347,94,0.27167630057803466,342,94,0.27485380116959063,0.27325581395348836,347,96,0.276657060518732
28,"[('low_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",2179,342,0.15695273061037174,342,342,1.0,0.2713209044030147,2179,2047,0.9394217530977512
29,"[('low_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",1250,276,0.2209767814251401,342,276,0.8070175438596491,0.34695160276555626,1250,977,0.7816
30,"[('low_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",236,89,0.3771186440677966,342,89,0.260233918128655,0.3079584775086505,236,60,0.2542372881355932
31,"[('medium_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",348,208,0.5977011494252874,342,208,0.6081871345029239,0.6028985507246376,348,211,0.6063218390804598
32,"[('medium_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",662,79,0.11933534743202417,342,79,0.2309941520467836,0.15737051792828685,662,138,0.2084592145015106
33,"[('medium_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",287,32,0.11149825783972125,342,32,0.0935672514619883,0.10174880763116058,287,30,0.10452961672473868
34,"[('high_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",241,199,0.8257261410788381,342,199,0.5818713450292398,0.6826758147512865,241,161,0.6680497925311203
35,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",678,132,0.19469026548672566,342,132,0.38596491228070173,0.2588235294117647,678,245,0.3613569321533923
36,"[('high_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",873,174,0.19954128440366972,342,174,0.5087719298245614,0.2866556836902801,873,442,0.5063001145475372
37,"[('low_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1969,342,0.17369222955815133,342,342,1.0,0.29597576806577236,1969,1856,0.9426104621635348
38,"[('low_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",561,142,0.2531194295900178,342,142,0.4152046783625731,0.31450719822812845,561,204,0.36363636363636365
39,"[('low_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",1135,259,0.22819383259911893,342,259,0.7573099415204678,0.3507109004739336,1135,812,0.7154185022026431
40,"[('medium_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",786,121,0.15414012738853503,342,121,0.3538011695906433,0.2147293700088731,786,283,0.36005089058524176
