Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel')]",3665,1491,0.40693231441048033,1491,1491,1.0,0.5784675072744907,3665,3618,0.9871759890859482
2,"[('medium_protein', 'HasProteinLevel')]",1297,1282,0.9891975308641975,1491,1282,0.8598256203890007,0.9199856476498025,1297,1240,0.9560524286815728
3,"[('high_protein', 'HasProteinLevel')]",1792,1489,0.8318435754189945,1491,1489,0.9986586183769283,0.9076501066747943,1792,1755,0.9793526785714286
4,"[('low_carb', 'HasCarbLevel')]",4660,1491,0.3201631951900365,1491,1491,1.0,0.485035783994795,4660,4627,0.9929184549356224
5,"[('medium_carb', 'HasCarbLevel')]",1610,1465,0.9099378881987578,1491,1465,0.9825620389000671,0.944856497903902,1610,1547,0.9608695652173913
6,"[('high_carb', 'HasCarbLevel')]",484,484,1.0,1491,484,0.32461435278336687,0.490126582278481,484,431,0.890495867768595
7,"[('low_fat', 'HasFatLevel')]",2550,1491,0.5849352687328364,1491,1491,1.0,0.7381188118811881,2550,2509,0.983921568627451
8,"[('medium_fat', 'HasFatLevel')]",2754,1491,0.5415909916454776,1491,1491,1.0,0.7026390197926484,2754,2705,0.9822076978939724
9,"[('high_fat', 'HasFatLevel')]",1450,1417,0.9779158040027606,1491,1417,0.9503688799463448,0.9639455782312925,1450,1408,0.9710344827586207
10,"[('low_fiber', 'HasFiberLevel')]",4984,1491,0.2993374824332463,1491,1491,1.0,0.46075401730531523,4984,4942,0.9915730337078652
11,"[('medium_fiber', 'HasFiberLevel')]",1164,1161,0.9974226804123711,1491,1161,0.778672032193159,0.8745762711864407,1164,1126,0.9673539518900344
12,"[('high_fiber', 'HasFiberLevel')]",606,605,1.0,1491,605,0.4057679409792086,0.5772900763358779,606,565,0.9323432343234324
13,"[('low_sodium', 'HasSodiumLevel')]",2768,1491,0.5386560693641619,1491,1491,1.0,0.7001643578304766,2768,2710,0.9790462427745664
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,1491,0.5758980301274623,1491,1491,1.0,0.7308823529411764,2590,2553,0.9857142857142858
15,"[('high_sodium', 'HasSodiumLevel')]",1396,1377,0.9870967741935484,1491,1377,0.9235412474849095,0.9542619542619544,1396,1354,0.9699140401146131
16,"[('low_sugar', 'HasSugarLevel')]",3880,1491,0.3843774168600155,1491,1491,1.0,0.5553072625698323,3880,3844,0.9907216494845361
17,"[('medium_sugar', 'HasSugarLevel')]",1096,1092,0.9963503649635036,1491,1092,0.7323943661971831,0.8442211055276383,1096,1059,0.9662408759124088
18,"[('high_sugar', 'HasSugarLevel')]",1778,1490,0.8380202474690663,1491,1490,0.9993293091884641,0.9115937595594983,1778,1732,0.9741282339707537
19,"[('low_cholesterol', 'HasCholesterolLevel')]",3715,1491,0.401453957996769,1491,1491,1.0,0.5729106628242074,3715,3680,0.990578734858681
20,"[('medium_cholesterol', 'HasCholesterolLevel')]",1511,1446,0.9576158940397351,1491,1446,0.9698189134808853,0.9636787737420861,1511,1456,0.9636002647253474
21,"[('high_cholesterol', 'HasCholesterolLevel')]",1528,1464,0.9587426326129665,1491,1464,0.9818913480885312,0.9701789264413517,1528,1484,0.9712041884816754
