Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,342,0.1171634121274409,342,342,1.0,0.20975160993560255,2920,2665,0.9126712328767124
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,329,0.5,342,329,0.9619883040935673,0.658,658,532,0.8085106382978723
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,84,0.9655172413793104,342,84,0.24561403508771928,0.3916083916083916,87,58,0.6666666666666666
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,318,0.4937888198757764,342,318,0.9298245614035088,0.6450304259634889,645,508,0.7875968992248062
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,309,0.6023391812865497,342,309,0.9035087719298246,0.7228070175438597,513,402,0.783625730994152
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,129,0.9280575539568345,342,129,0.37719298245614036,0.5363825363825364,139,99,0.7122302158273381
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,340,0.31078610603290674,342,340,0.9941520467836257,0.4735376044568244,1095,950,0.867579908675799
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,295,0.6719817767653758,342,295,0.8625730994152047,0.7554417413572343,439,336,0.765375854214123
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,220,0.8527131782945736,342,220,0.6432748538011696,0.7333333333333333,258,199,0.7713178294573644
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,342,0.1634018155757286,342,342,1.0,0.28090349075975357,2093,1893,0.9044433827042523
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,341,0.25353159851301116,342,341,0.9970760233918129,0.40426793123888555,1346,1140,0.8469539375928677
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,186,0.8230088495575221,342,186,0.543859649122807,0.6549295774647887,226,164,0.7256637168141593
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,248,0.8157894736842105,342,248,0.7251461988304093,0.7678018575851393,304,234,0.7697368421052632
14,"[('medium_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",718,333,0.4637883008356546,342,333,0.9736842105263158,0.6283018867924528,718,578,0.8050139275766016
15,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",275,224,0.8145454545454546,342,224,0.6549707602339181,0.7260940032414911,275,203,0.7381818181818182
16,"[('high_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",153,135,0.8881578947368421,342,135,0.39473684210526316,0.5465587044534413,153,114,0.7450980392156863
17,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",690,331,0.4797101449275362,342,331,0.9678362573099415,0.6414728682170543,690,555,0.8043478260869565
