Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel')]",3665,1491,0.40693231441048033,1491,1491,1.0,0.5784675072744907,3665,3643,0.9939972714870395
2,"[('medium_protein', 'HasProteinLevel')]",1297,1296,1.0,1491,1296,0.869215291750503,0.9300322927879441,1297,1289,0.9938319198149576
3,"[('high_protein', 'HasProteinLevel')]",1792,1490,0.8324022346368715,1491,1490,0.9993293091884641,0.9082596769277659,1792,1768,0.9866071428571429
4,"[('low_carb', 'HasCarbLevel')]",4660,1491,0.3201631951900365,1491,1491,1.0,0.485035783994795,4660,4635,0.9946351931330472
5,"[('medium_carb', 'HasCarbLevel')]",1610,1483,0.9211180124223602,1491,1483,0.994634473507713,0.9564656562399225,1610,1568,0.9739130434782609
6,"[('high_carb', 'HasCarbLevel')]",484,484,1.0,1491,484,0.32461435278336687,0.490126582278481,484,464,0.9586776859504132
7,"[('low_fat', 'HasFatLevel')]",2550,1491,0.5849352687328364,1491,1491,1.0,0.7381188118811881,2550,2530,0.9921568627450981
8,"[('medium_fat', 'HasFatLevel')]",2754,1491,0.5415909916454776,1491,1491,1.0,0.7026390197926484,2754,2734,0.9927378358750908
9,"[('high_fat', 'HasFatLevel')]",1450,1440,0.9937888198757764,1491,1440,0.96579476861167,0.9795918367346939,1450,1425,0.9827586206896551
10,"[('low_fiber', 'HasFiberLevel')]",4984,1491,0.2993374824332463,1491,1491,1.0,0.46075401730531523,4984,4958,0.9947833065810594
11,"[('medium_fiber', 'HasFiberLevel')]",1164,1164,1.0,1491,1164,0.7806841046277666,0.8768361581920904,1164,1141,0.9802405498281787
12,"[('high_fiber', 'HasFiberLevel')]",606,605,1.0,1491,605,0.4057679409792086,0.5772900763358779,606,583,0.9620462046204621
13,"[('low_sodium', 'HasSodiumLevel')]",2768,1491,0.5386560693641619,1491,1491,1.0,0.7001643578304766,2768,2755,0.9953034682080925
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,1491,0.5758980301274623,1491,1491,1.0,0.7308823529411764,2590,2570,0.9922779922779923
15,"[('high_sodium', 'HasSodiumLevel')]",1396,1392,0.9978494623655914,1491,1392,0.9336016096579477,0.9646569646569646,1396,1380,0.9885386819484241
16,"[('low_sugar', 'HasSugarLevel')]",3880,1491,0.3843774168600155,1491,1491,1.0,0.5553072625698323,3880,3859,0.9945876288659794
17,"[('medium_sugar', 'HasSugarLevel')]",1096,1094,0.9981751824817519,1491,1094,0.7337357478202549,0.8457672980286046,1096,1090,0.9945255474452555
18,"[('high_sugar', 'HasSugarLevel')]",1778,1491,0.8385826771653543,1491,1491,1.0,0.9122055674518201,1778,1763,0.9915635545556806
19,"[('low_cholesterol', 'HasCholesterolLevel')]",3715,1491,0.401453957996769,1491,1491,1.0,0.5729106628242074,3715,3690,0.9932705248990579
