Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
1,"[('high_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('garlic_clove', 'contains')]",36,3,0.08333333333333333,84,3,0.03571428571428571,36,1,0.027777777777777776,0.05
2,"[('high_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel'), ('brown_sugar', 'contains')]",25,1,0.04,84,1,0.011904761904761904,25,0,0.0,0.01834862385321101
3,"[('medium_fiber', 'HasFiberLevel'), ('breakfast', 'isForMealType'), ('onion', 'contains')]",7,2,0.2857142857142857,84,2,0.023809523809523808,7,0,0.0,0.043956043956043946
4,"[('high_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('onion', 'contains')]",59,2,0.03389830508474576,84,2,0.023809523809523808,59,2,0.03389830508474576,0.027972027972027972
5,"[('low_fat', 'HasFatLevel'), ('asia', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook')]",66,8,0.12121212121212122,84,8,0.09523809523809523,66,6,0.09090909090909091,0.10666666666666667
6,"[('low_carb', 'HasCarbLevel'), ('dinner', 'isForMealType'), ('pepper', 'contains')]",386,11,0.02849740932642487,84,11,0.13095238095238096,386,31,0.08031088082901554,0.04680851063829788
7,"[('low_carb', 'HasCarbLevel'), ('high_fiber', 'HasFiberLevel'), ('red_onion', 'contains')]",14,0,0.0,84,0,0.0,14,0,0.0,0.0
8,"[('vegan', 'hasDietType'), ('africa', 'isFromRegion'), ('garlic_clove', 'contains')]",37,23,0.6216216216216216,84,23,0.27380952380952384,37,16,0.43243243243243246,0.38016528925619836
9,"[('high_protein', 'HasProteinLevel'), ('less_than_30_mins', 'needTimeToCook'), ('onion', 'contains')]",129,1,0.007751937984496124,84,1,0.011904761904761904,129,2,0.015503875968992248,0.009389671361502348
10,"[('medium_cholesterol', 'HasCholesterolLevel'), ('brunch', 'isForMealType'), ('milk', 'contains')]",47,14,0.2978723404255319,84,14,0.16666666666666666,47,11,0.23404255319148937,0.21374045801526717
11,"[('high_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel'), ('salt_product', 'contains')]",44,0,0.0,84,0,0.0,44,0,0.0,0.0
12,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel'), ('less_than_30_mins', 'needTimeToCook')]",142,2,0.014084507042253521,84,2,0.023809523809523808,142,2,0.014084507042253521,0.017699115044247787
14,"[('low_fat', 'HasFatLevel'), ('standard', 'hasDietType'), ('less_than_60_mins', 'needTimeToCook')]",93,6,0.06451612903225806,84,6,0.07142857142857142,93,6,0.06451612903225806,0.06779661016949153
15,"[('low_fat', 'HasFatLevel'), ('less_than_60_mins', 'needTimeToCook'), ('garlic_clove', 'contains')]",115,7,0.06086956521739131,84,7,0.08333333333333333,115,8,0.06956521739130435,0.07035175879396985
17,"[('low_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel'), ('snack', 'isForMealType')]",158,12,0.0759493670886076,84,12,0.14285714285714285,158,15,0.0949367088607595,0.09917355371900827
18,"[('asia', 'isFromRegion'), ('more_than_6_hours', 'needTimeToCook'), ('garlic_clove', 'contains')]",33,11,0.3333333333333333,84,11,0.13095238095238096,33,5,0.15151515151515152,0.188034188034188
19,"[('medium_fat', 'HasFatLevel'), ('medium_calorie', 'HasCalorieLevel'), ('europe', 'isFromRegion')]",190,7,0.03684210526315789,84,7,0.08333333333333333,190,23,0.12105263157894737,0.051094890510948905
20,"[('vegan', 'hasDietType'), ('latin_america_and_caribbean', 'isFromRegion'), ('tomato', 'contains')]",10,6,0.6,84,6,0.07142857142857142,10,3,0.3,0.1276595744680851
21,"[('low_cholesterol', 'HasCholesterolLevel'), ('brunch', 'isForMealType'), ('tomato', 'contains')]",39,8,0.20512820512820512,84,8,0.09523809523809523,39,4,0.10256410256410256,0.13008130081300812
22,"[('low_fat', 'HasFatLevel'), ('standard', 'hasDietType'), ('flour', 'contains')]",75,1,0.013333333333333334,84,1,0.011904761904761904,75,1,0.013333333333333334,0.012578616352201257
23,"[('medium_calorie', 'HasCalorieLevel'), ('starter', 'isForMealType'), ('africa', 'isFromRegion')]",22,3,0.13636363636363635,84,3,0.03571428571428571,22,2,0.09090909090909091,0.056603773584905655
26,"[('high_carb', 'HasCarbLevel'), ('asia', 'isFromRegion'), ('garlic_clove', 'contains')]",18,5,0.2777777777777778,84,5,0.05952380952380952,18,1,0.05555555555555555,0.0980392156862745
