Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,228,0.07810894141829394,346,228,0.6589595375722543,2920,1538,0.5267123287671233,0.13966309341500766
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,28,0.0425531914893617,346,28,0.08092485549132948,658,58,0.08814589665653495,0.055776892430278883
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,2,0.022988505747126436,346,2,0.005780346820809248,87,0,0.0,0.009237875288683603
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,38,0.059006211180124224,346,38,0.10982658959537572,645,83,0.12868217054263567,0.07676767676767676
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,33,0.06432748538011696,346,33,0.0953757225433526,513,44,0.08576998050682261,0.07683352735739232
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,12,0.08633093525179857,346,12,0.03468208092485549,139,4,0.02877697841726619,0.049484536082474224
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,22,0.02010968921389397,346,22,0.06358381502890173,1095,69,0.06301369863013699,0.030555555555555558
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,19,0.04328018223234624,346,19,0.05491329479768786,439,29,0.06605922551252848,0.048407643312101914
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,26,0.10077519379844961,346,26,0.07514450867052024,258,21,0.08139534883720931,0.08609271523178808
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,136,0.06497849976110846,346,136,0.3930635838150289,2093,794,0.37935977066411847,0.11152111521115211
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,77,0.05724907063197026,346,77,0.22254335260115607,1346,280,0.20802377414561665,0.09107037256061502
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,15,0.06637168141592921,346,15,0.04335260115606936,226,9,0.03982300884955752,0.05244755244755245
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,19,0.0625,346,19,0.05491329479768786,304,17,0.05592105263157895,0.05846153846153846
14,"[('medium_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",718,46,0.06406685236768803,346,46,0.1329479768786127,718,115,0.16016713091922005,0.08646616541353383
15,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",275,19,0.06909090909090909,346,19,0.05491329479768786,275,14,0.05090909090909091,0.061191626409017714
16,"[('high_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",153,6,0.039473684210526314,346,6,0.017341040462427744,153,0,0.0,0.024096385542168672
17,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",690,23,0.03333333333333333,346,23,0.06647398843930635,690,51,0.07391304347826087,0.0444015444015444
18,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",949,86,0.09071729957805907,346,86,0.24855491329479767,949,161,0.1696522655426765,0.1329211746522411
19,"[('low_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",3130,200,0.06391818472355384,346,200,0.5780346820809249,3130,1528,0.4881789137380192,0.11510791366906474
20,"[('low_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",466,21,0.045064377682403435,346,21,0.06069364161849711,466,28,0.060085836909871244,0.05172413793103448
21,"[('low_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",69,3,0.043478260869565216,346,3,0.008670520231213872,69,0,0.0,0.014457831325301203
22,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",772,46,0.05966277561608301,346,46,0.1329479768786127,772,105,0.13601036269430053,0.08236347358997315
23,"[('medium_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",335,23,0.06865671641791045,346,23,0.06647398843930635,335,21,0.0626865671641791,0.06754772393538915
24,"[('medium_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",190,7,0.03684210526315789,346,7,0.02023121387283237,190,3,0.015789473684210527,0.026119402985074626
