Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
1,"[('low_protein', 'HasProteinLevel')]",3665,944,0.2576419213973799,1503,944,0.6280771789753826,3665,2156,0.5882673942701228,0.3653957809173602
2,"[('medium_protein', 'HasProteinLevel')]",1297,339,0.26157407407407407,1503,339,0.22554890219560877,1297,295,0.2274479568234387,0.2422293676312969
3,"[('high_protein', 'HasProteinLevel')]",1792,423,0.23631284916201117,1503,423,0.281437125748503,1792,487,0.27176339285714285,0.2569085939872457
4,"[('low_carb', 'HasCarbLevel')]",4660,1224,0.2628301481640541,1503,1224,0.8143712574850299,4660,3441,0.738412017167382,0.39740259740259737
5,"[('medium_carb', 'HasCarbLevel')]",1610,315,0.1956521739130435,1503,315,0.20958083832335328,1610,337,0.2093167701863354,0.20237712817218118
6,"[('high_carb', 'HasCarbLevel')]",484,187,0.38636363636363635,1503,187,0.12441783100465735,484,81,0.16735537190082644,0.18822345244086564
7,"[('low_fat', 'HasFatLevel')]",2550,659,0.25853275794429187,1503,659,0.4384564204923486,2550,1091,0.427843137254902,0.3252714708785785
8,"[('medium_fat', 'HasFatLevel')]",2754,716,0.2600799128223756,1503,716,0.4763805721889554,2754,1237,0.4491648511256354,0.3364661654135338
9,"[('high_fat', 'HasFatLevel')]",1450,328,0.2263630089717046,1503,328,0.21823020625415834,1450,314,0.21655172413793103,0.2222222222222222
10,"[('low_fiber', 'HasFiberLevel')]",4984,1223,0.24553302549688819,1503,1223,0.8137059214903526,4984,3763,0.755016051364366,0.377236273904997
11,"[('medium_fiber', 'HasFiberLevel')]",1164,260,0.22336769759450173,1503,260,0.17298735861610112,1164,204,0.17525773195876287,0.19497562804649418
12,"[('high_fiber', 'HasFiberLevel')]",606,108,0.17851239669421487,1503,108,0.0718562874251497,606,40,0.066006600660066,0.10246679316888045
13,"[('low_sodium', 'HasSodiumLevel')]",2768,681,0.24602601156069365,1503,681,0.4530938123752495,2768,1244,0.44942196531791906,0.3188948723952236
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,688,0.2657396678254152,1503,688,0.4577511643379907,2590,1161,0.44826254826254824,0.33626588465298135
15,"[('high_sodium', 'HasSodiumLevel')]",1396,267,0.1913978494623656,1503,267,0.17764471057884232,1396,256,0.1833810888252149,0.18426501035196688
16,"[('low_sugar', 'HasSugarLevel')]",3880,725,0.18690384119618458,1503,725,0.4823685961410512,3880,1992,0.51340206185567,0.2694165737643998
17,"[('medium_sugar', 'HasSugarLevel')]",1096,257,0.23448905109489052,1503,257,0.1709913506320692,1096,202,0.1843065693430657,0.19776837245094267
18,"[('high_sugar', 'HasSugarLevel')]",1778,600,0.3374578177727784,1503,600,0.3992015968063872,1778,695,0.390888638920135,0.36574215178299296
19,"[('low_cholesterol', 'HasCholesterolLevel')]",3715,809,0.21782444803446419,1503,809,0.5382568196939455,3715,1979,0.5327052489905787,0.31013992716120375
20,"[('medium_cholesterol', 'HasCholesterolLevel')]",1511,396,0.26225165562913905,1503,396,0.2634730538922156,1511,397,0.2627399073461284,0.26286093594424165
21,"[('high_cholesterol', 'HasCholesterolLevel')]",1528,445,0.2914210870988867,1503,445,0.29607451763140386,1528,451,0.2951570680628272,0.2937293729372937
22,"[('low_calorie', 'HasCalorieLevel')]",3928,1166,0.2969943963321447,1503,1166,0.7757817697937458,3928,2665,0.6784623217922607,0.42954503591821697
23,"[('medium_calorie', 'HasCalorieLevel')]",2349,491,0.20902511707109409,1503,491,0.32667997338656024,2349,763,0.32481907194550874,0.254932502596054
24,"[('high_calorie', 'HasCalorieLevel')]",477,121,0.2542016806722689,1503,121,0.08050565535595476,477,35,0.07337526205450734,0.12228398180899444
25,"[('breakfast', 'isForMealType')]",552,488,0.8840579710144928,1503,488,0.32468396540252825,552,336,0.6086956521739131,0.4749391727493917
26,"[('lunch', 'isForMealType')]",1014,496,0.4891518737672584,1503,496,0.3300066533599468,1014,370,0.36489151873767256,0.39411998410806515
27,"[('dinner', 'isForMealType')]",958,640,0.6687565308254964,1503,640,0.4258150365934797,958,504,0.5260960334029228,0.5203252032520325
28,"[('snack', 'isForMealType')]",839,516,0.6157517899761337,1503,516,0.34331337325349304,839,378,0.4505363528009535,0.4408372490388722
29,"[('dessert', 'isForMealType')]",1019,920,0.9028459273797841,1503,920,0.612109115103127,1019,804,0.78900883218842,0.7295796986518636
30,"[('starter', 'isForMealType')]",1147,530,0.462478184991274,1503,530,0.3526280771789754,1147,446,0.3888404533565824,0.40015100037750095
31,"[('brunch', 'isForMealType')]",774,293,0.3785529715762274,1503,293,0.19494344644045242,774,181,0.23385012919896642,0.25735617039964864
32,"[('drink', 'isForMealType')]",451,385,0.8536585365853658,1503,385,0.25615435795076513,451,255,0.565410199556541,0.3940634595701126
33,"[('vegetarian', 'hasDietType')]",1894,1110,0.5860612460401268,1503,1110,0.7385229540918163,1894,1310,0.6916578669482577,0.6535178098322049
34,"[('vegan', 'hasDietType')]",1564,1180,0.7549584133077415,1503,1180,0.7850964737192282,1564,1213,0.7755754475703325,0.7697325505544683
35,"[('paleo', 'hasDietType')]",407,259,0.6363636363636364,1503,259,0.17232202262142382,407,103,0.25307125307125306,0.27120418848167543
36,"[('standard', 'hasDietType')]",1862,804,0.4324905863367402,1503,804,0.5349301397205589,1862,940,0.5048335123523093,0.47828673408685307
37,"[('global', 'isFromRegion')]",1260,88,0.0698967434471803,1503,88,0.05854956753160346,1260,68,0.05396825396825397,0.06372194062273716
38,"[('asia', 'isFromRegion')]",799,616,0.7709637046307884,1503,616,0.4098469727212242,799,524,0.655819774718398,0.5351867940920938
39,"[('north_america', 'isFromRegion')]",1720,1044,0.6076833527357393,1503,1044,0.6946107784431138,1720,1153,0.6703488372093023,0.6482458863706925
40,"[('europe', 'isFromRegion')]",1273,898,0.7054202670856246,1503,898,0.5974717232202262,1273,834,0.655145326001571,0.6469740634005763
41,"[('middle_east', 'isFromRegion')]",487,294,0.6036960985626283,1503,294,0.19560878243512975,487,141,0.28952772073921973,0.29547738693467335
42,"[('latin_america_and_caribbean', 'isFromRegion')]",341,314,0.9208211143695014,1503,314,0.20891550232867598,341,242,0.7096774193548387,0.34056399132321036
43,"[('oceania', 'isFromRegion')]",476,436,0.9159663865546218,1503,436,0.29008649367930806,476,363,0.7626050420168067,0.44062657908034364
44,"[('africa', 'isFromRegion')]",398,353,0.8869346733668342,1503,353,0.23486360612109114,398,319,0.8015075376884422,0.3713834823776959
45,"[('less_than_60_mins', 'needTimeToCook')]",1501,242,0.16122584943371085,1503,242,0.16101131071190952,1501,242,0.16122584943371085,0.1611185086551265
46,"[('less_than_15_mins', 'needTimeToCook')]",1052,261,0.24809885931558937,1503,261,0.17365269461077845,1052,200,0.19011406844106463,0.20430528375733856
47,"[('less_than_30_mins', 'needTimeToCook')]",1423,281,0.19747013352073084,1503,281,0.18695941450432468,1423,266,0.18692902319044272,0.1920710868079289
48,"[('less_than_6_hours', 'needTimeToCook')]",651,242,0.3723076923076923,1503,242,0.16101131071190952,651,123,0.1889400921658986,0.22480260102183003
49,"[('less_than_4_hours', 'needTimeToCook')]",1439,502,0.3488533703961084,1503,502,0.33399866932801064,1439,484,0.33634468380820015,0.34126444595513256
50,"[('more_than_6_hours', 'needTimeToCook')]",688,315,0.4578488372093023,1503,315,0.20958083832335328,688,181,0.26308139534883723,0.2875399361022364
51,"[('salt_product', 'contains')]",2554,941,0.36858597728162945,1503,941,0.6260811709913506,2554,1466,0.5740015661707126,0.4640039447731755
52,"[('garlic_clove', 'contains')]",1671,995,0.5954518252543387,1503,995,0.6620093147039254,1671,1067,0.6385397965290245,0.6269691241335853
54,"[('sugar', 'contains')]",2398,930,0.3879849812265332,1503,930,0.6187624750499002,2398,1316,0.548790658882402,0.476923076923077
55,"[('flour', 'contains')]",1598,991,0.6209273182957393,1503,991,0.6593479707252162,1598,1028,0.6433041301627034,0.6395611487576638
56,"[('chicken_egg', 'contains')]",1308,575,0.43993879112471307,1503,575,0.38256819693945443,1308,509,0.38914373088685017,0.40925266903914587
57,"[('olive_oil', 'contains')]",1452,659,0.45385674931129477,1503,659,0.4384564204923486,1452,643,0.4428374655647383,0.44602368866328257
58,"[('butter', 'contains')]",1479,792,0.5354969574036511,1503,792,0.5269461077844312,1479,784,0.5300878972278567,0.5311871227364185
59,"[('onion', 'contains')]",1769,1035,0.5850763143018655,1503,1035,0.688622754491018,1769,1162,0.6568682871678915,0.632640586797066
