Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,229,0.07845152449468996,346,229,0.661849710982659,2920,1525,0.5222602739726028,0.14027565084226645
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,28,0.0425531914893617,346,28,0.08092485549132948,658,62,0.09422492401215805,0.055776892430278883
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,5,0.05747126436781609,346,5,0.014450867052023121,87,2,0.022988505747126436,0.023094688221709004
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,39,0.06055900621118013,346,39,0.11271676300578035,645,70,0.10852713178294573,0.07878787878787878
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,25,0.04873294346978557,346,25,0.07225433526011561,513,35,0.0682261208576998,0.05820721769499418
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,6,0.04316546762589928,346,6,0.017341040462427744,139,2,0.014388489208633094,0.024742268041237112
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,36,0.03290676416819013,346,36,0.10404624277456648,1095,130,0.1187214611872146,0.049999999999999996
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,15,0.03416856492027335,346,15,0.04335260115606936,439,19,0.04328018223234624,0.038216560509554146
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,15,0.05813953488372093,346,15,0.04335260115606936,258,12,0.046511627906976744,0.04966887417218543
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,122,0.05828953655040611,346,122,0.35260115606936415,2093,718,0.34304825609173434,0.10004100041000409
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,114,0.08475836431226766,346,114,0.32947976878612717,1346,373,0.2771173848439822,0.1348314606741573
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,21,0.09292035398230089,346,21,0.06069364161849711,226,15,0.06637168141592921,0.07342657342657342
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,22,0.07236842105263158,346,22,0.06358381502890173,304,20,0.06578947368421052,0.06769230769230769
