Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel')]",3665,1491,0.40693231441048033,1491,1491,1.0,0.5784675072744907,3665,3595,0.9809004092769441
2,"[('medium_protein', 'HasProteinLevel')]",1297,421,0.3248456790123457,1491,421,0.2823608316566063,0.3021169716541084,1297,354,0.27293754818812643
3,"[('high_protein', 'HasProteinLevel')]",1792,1255,0.7011173184357542,1491,1255,0.8417169684775319,0.765010667479427,1792,1421,0.79296875
4,"[('low_carb', 'HasCarbLevel')]",4660,1491,0.3201631951900365,1491,1491,1.0,0.485035783994795,4660,4640,0.9957081545064378
5,"[('medium_carb', 'HasCarbLevel')]",1610,1043,0.6478260869565218,1491,1043,0.6995305164319249,0.672686230248307,1610,1151,0.7149068322981367
6,"[('high_carb', 'HasCarbLevel')]",484,460,0.9504132231404959,1491,460,0.3085177733065057,0.46582278481012657,484,183,0.378099173553719
7,"[('low_fat', 'HasFatLevel')]",2550,1489,0.5841506473126716,1491,1489,0.9986586183769283,0.7371287128712871,2550,2346,0.92
8,"[('medium_fat', 'HasFatLevel')]",2754,1257,0.4565928078459862,1491,1257,0.8430583501006036,0.5923656927426955,2754,2056,0.7465504720406682
9,"[('high_fat', 'HasFatLevel')]",1450,1004,0.6928916494133885,1491,1004,0.6733735747820255,0.6829931972789116,1450,986,0.68
10,"[('low_fiber', 'HasFiberLevel')]",4984,1362,0.27343906846014854,1491,1362,0.9134808853118712,0.42088998763906055,4984,4199,0.8424959871589085
11,"[('medium_fiber', 'HasFiberLevel')]",1164,525,0.45103092783505155,1491,525,0.352112676056338,0.3954802259887006,1164,415,0.35652920962199314
12,"[('high_fiber', 'HasFiberLevel')]",606,485,0.8016528925619835,1491,485,0.32528504359490273,0.46278625954198477,606,296,0.4884488448844885
13,"[('low_sodium', 'HasSodiumLevel')]",2768,1491,0.5386560693641619,1491,1491,1.0,0.7001643578304766,2768,2708,0.9783236994219653
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,866,0.33449208188489765,1491,866,0.5808182427900738,0.4245098039215686,2590,1519,0.5864864864864865
