Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
1,"[('low_protein', 'HasProteinLevel')]",3665,901,0.24590611353711792,1503,901,0.5994677312042581,3665,2094,0.5713506139154161,0.3487516934391329
2,"[('medium_protein', 'HasProteinLevel')]",1297,350,0.2700617283950617,1503,350,0.2328675981370592,1297,304,0.23438704703161142,0.25008931761343334
3,"[('high_protein', 'HasProteinLevel')]",1792,389,0.21731843575418994,1503,389,0.2588157019294744,1792,462,0.2578125,0.23625873064075315
4,"[('low_carb', 'HasCarbLevel')]",4660,1153,0.24758428172643332,1503,1153,0.7671324018629407,4660,3259,0.6993562231759657,0.3743506493506494
5,"[('medium_carb', 'HasCarbLevel')]",1610,437,0.2714285714285714,1503,437,0.2907518296739854,1610,474,0.29440993788819875,0.28075811114680366
6,"[('high_carb', 'HasCarbLevel')]",484,156,0.32231404958677684,1503,156,0.10379241516966067,484,57,0.11776859504132231,0.15702063412179162
7,"[('low_fat', 'HasFatLevel')]",2550,728,0.28560219693997646,1503,728,0.48436460412508314,2550,1157,0.45372549019607844,0.3593287265547878
8,"[('medium_fat', 'HasFatLevel')]",2754,654,0.23755902651652744,1503,654,0.4351297405189621,2754,1162,0.42193173565722586,0.3073308270676692
9,"[('high_fat', 'HasFatLevel')]",1450,395,0.2726017943409248,1503,395,0.26280771789753826,1450,382,0.263448275862069,0.26761517615176156
10,"[('low_fiber', 'HasFiberLevel')]",4984,1121,0.22505520979722948,1503,1121,0.7458416500332667,4984,3655,0.733346709470305,0.34577421344848863
11,"[('medium_fiber', 'HasFiberLevel')]",1164,294,0.25257731958762886,1503,294,0.19560878243512975,1164,230,0.19759450171821305,0.2204724409448819
12,"[('high_fiber', 'HasFiberLevel')]",606,144,0.23801652892561984,1503,144,0.09580838323353294,606,50,0.08250825082508251,0.1366223908918406
13,"[('low_sodium', 'HasSodiumLevel')]",2768,654,0.23627167630057805,1503,654,0.4351297405189621,2768,1178,0.42557803468208094,0.30625146335752756
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,657,0.253765932792584,1503,657,0.437125748502994,2590,1088,0.4200772200772201,0.32111436950146627
15,"[('high_sodium', 'HasSodiumLevel')]",1396,336,0.24086021505376345,1503,336,0.22355289421157684,1396,311,0.22277936962750716,0.2318840579710145
16,"[('low_sugar', 'HasSugarLevel')]",3880,527,0.13585975766950245,1503,527,0.35063206919494344,3880,1818,0.46855670103092784,0.19583797844667408
17,"[('medium_sugar', 'HasSugarLevel')]",1096,275,0.2509124087591241,1503,275,0.18296739853626082,1096,206,0.18795620437956204,0.2116198537899192
18,"[('high_sugar', 'HasSugarLevel')]",1778,785,0.4415073115860517,1503,785,0.52228875582169,1778,905,0.5089988751406074,0.47851264858274917
19,"[('low_cholesterol', 'HasCholesterolLevel')]",3715,892,0.24017232094776522,1503,892,0.5934797072521624,3715,2173,0.5849259757738896,0.3419589802568526
20,"[('medium_cholesterol', 'HasCholesterolLevel')]",1511,408,0.27019867549668874,1503,408,0.2714570858283433,1511,410,0.271343481138319,0.2708264188516429
21,"[('high_cholesterol', 'HasCholesterolLevel')]",1528,345,0.22593320235756384,1503,345,0.22954091816367264,1528,352,0.23036649214659685,0.2277227722772277
22,"[('low_calorie', 'HasCalorieLevel')]",3928,1111,0.28298522669383597,1503,1111,0.7391882900864937,3928,2580,0.6568228105906314,0.4092834776201879
23,"[('medium_calorie', 'HasCalorieLevel')]",2349,506,0.21541081311196253,1503,506,0.3366600133067199,2349,782,0.3329076202639421,0.26272066458982346
24,"[('high_calorie', 'HasCalorieLevel')]",477,148,0.31092436974789917,1503,148,0.09846972721224219,477,62,0.129979035639413,0.14957049014653867
25,"[('breakfast', 'isForMealType')]",552,400,0.7246376811594203,1503,400,0.2661343978709248,552,212,0.38405797101449274,0.389294403892944
26,"[('lunch', 'isForMealType')]",1014,439,0.4329388560157791,1503,439,0.29208250166334,1014,325,0.32051282051282054,0.3488279698053237
27,"[('dinner', 'isForMealType')]",958,369,0.38557993730407525,1503,369,0.24550898203592814,958,273,0.2849686847599165,0.30000000000000004
28,"[('snack', 'isForMealType')]",839,461,0.5501193317422435,1503,461,0.30671989354624085,839,315,0.37544696066746125,0.3938487825715506
29,"[('dessert', 'isForMealType')]",1019,835,0.8194308145240432,1503,835,0.5555555555555556,1019,697,0.6840039254170756,0.6621728786677241
30,"[('starter', 'isForMealType')]",1147,367,0.32024432809773123,1503,367,0.24417831004657353,1147,295,0.25719267654751526,0.2770856927142318
31,"[('brunch', 'isForMealType')]",774,682,0.8811369509043928,1503,682,0.4537591483699268,774,524,0.6770025839793282,0.5990338164251209
32,"[('drink', 'isForMealType')]",451,412,0.9135254988913526,1503,412,0.2741184298070526,451,272,0.6031042128603105,0.4216990788126919
33,"[('vegetarian', 'hasDietType')]",1894,835,0.4408658922914467,1503,835,0.5555555555555556,1894,1025,0.5411826821541711,0.4916102443332352
34,"[('vegan', 'hasDietType')]",1564,1071,0.6852207293666027,1503,1071,0.7125748502994012,1564,1102,0.7046035805626598,0.6986301369863013
35,"[('paleo', 'hasDietType')]",407,387,0.9508599508599509,1503,387,0.25748502994011974,407,305,0.7493857493857494,0.40523560209424087
36,"[('standard', 'hasDietType')]",1862,550,0.2958579881656805,1503,550,0.36593479707252163,1862,664,0.35660580021482274,0.32718619869125515
37,"[('global', 'isFromRegion')]",1260,371,0.2946783161239079,1503,371,0.24683965402528277,1260,308,0.24444444444444444,0.2686459087617668
38,"[('asia', 'isFromRegion')]",799,653,0.8172715894868585,1503,653,0.43446440452428475,799,505,0.6320400500625782,0.5673327541268463
39,"[('north_america', 'isFromRegion')]",1720,1173,0.6827706635622818,1503,1173,0.780439121756487,1720,1277,0.7424418604651163,0.728345234399255
40,"[('europe', 'isFromRegion')]",1273,717,0.5632364493322859,1503,717,0.47704590818363274,1273,652,0.5121759622937941,0.5165706051873199
41,"[('middle_east', 'isFromRegion')]",487,441,0.9055441478439425,1503,441,0.2934131736526946,487,251,0.5154004106776181,0.44321608040201
42,"[('latin_america_and_caribbean', 'isFromRegion')]",341,341,1.0,1503,341,0.2268795741849634,341,296,0.8680351906158358,0.36984815618221256
43,"[('oceania', 'isFromRegion')]",476,65,0.13655462184873948,1503,65,0.04324683965402528,476,49,0.10294117647058823,0.06568974229408792
44,"[('africa', 'isFromRegion')]",398,386,0.9698492462311558,1503,386,0.25681969394544246,398,341,0.8567839195979899,0.40610205155181484
45,"[('less_than_60_mins', 'needTimeToCook')]",1501,286,0.1905396402398401,1503,286,0.19028609447771125,1501,285,0.189873417721519,0.1904127829560586
46,"[('less_than_15_mins', 'needTimeToCook')]",1052,396,0.376425855513308,1503,396,0.2634730538922156,1052,301,0.28612167300380226,0.30998043052837576
