Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel')]",3665,1490,0.4066593886462882,1491,1490,0.9993293091884641,0.5780795344325896,3665,3491,0.9525238744884038
2,"[('medium_protein', 'HasProteinLevel')]",1297,1204,0.9290123456790124,1491,1204,0.8075117370892019,0.8640114818801579,1297,1121,0.8643022359290671
3,"[('high_protein', 'HasProteinLevel')]",1792,1423,0.7949720670391062,1491,1423,0.95439302481556,0.867418469978665,1792,1620,0.9040178571428571
4,"[('low_carb', 'HasCarbLevel')]",4660,1490,0.3199484646768306,1491,1490,0.9993293091884641,0.4847104749512037,4660,4482,0.9618025751072962
5,"[('medium_carb', 'HasCarbLevel')]",1610,1358,0.8434782608695652,1491,1358,0.9107981220657277,0.8758465011286682,1610,1433,0.8900621118012423
6,"[('high_carb', 'HasCarbLevel')]",484,480,0.9917355371900827,1491,480,0.32193158953722334,0.4860759493670886,484,329,0.6797520661157025
7,"[('low_fat', 'HasFatLevel')]",2550,1489,0.5841506473126716,1491,1489,0.9986586183769283,0.7371287128712871,2550,2391,0.9376470588235294
8,"[('medium_fat', 'HasFatLevel')]",2754,1481,0.5379585906284053,1491,1481,0.9932930918846412,0.6979264844486334,2754,2558,0.9288307915758897
9,"[('high_fat', 'HasFatLevel')]",1450,1324,0.9137336093857833,1491,1324,0.8879946344735077,0.9006802721088435,1450,1302,0.8979310344827586
10,"[('low_fiber', 'HasFiberLevel')]",4984,1491,0.2993374824332463,1491,1491,1.0,0.46075401730531523,4984,4827,0.9684991974317817
11,"[('medium_fiber', 'HasFiberLevel')]",1164,1094,0.9398625429553265,1491,1094,0.7337357478202549,0.824105461393597,1164,958,0.8230240549828178
12,"[('high_fiber', 'HasFiberLevel')]",606,592,0.9785123966942149,1491,592,0.3970489604292421,0.5648854961832062,606,449,0.740924092409241
13,"[('low_sodium', 'HasSodiumLevel')]",2768,1486,0.536849710982659,1491,1486,0.9966465459423206,0.6978163888236676,2768,2631,0.9505057803468208
14,"[('medium_sodium', 'HasSodiumLevel')]",2590,1482,0.5724217844727694,1491,1482,0.993963782696177,0.7264705882352941,2590,2408,0.9297297297297298
15,"[('high_sodium', 'HasSodiumLevel')]",1396,1280,0.9175627240143369,1491,1280,0.8584842387659289,0.8870408870408871,1396,1244,0.8911174785100286
16,"[('low_sugar', 'HasSugarLevel')]",3880,1490,0.38411961845836556,1491,1490,0.9993293091884641,0.5549348230912476,3880,3692,0.9515463917525773
17,"[('medium_sugar', 'HasSugarLevel')]",1096,1067,0.9735401459854015,1491,1067,0.715627095908786,0.8248936992655586,1096,965,0.8804744525547445
18,"[('high_sugar', 'HasSugarLevel')]",1778,1441,0.8104611923509561,1491,1441,0.9664654594232059,0.8816151728357295,1778,1627,0.9150731158605174
19,"[('low_cholesterol', 'HasCholesterolLevel')]",3715,1490,0.40118470651588584,1491,1490,0.9993293091884641,0.5725264169068204,3715,3582,0.9641991924629879
20,"[('medium_cholesterol', 'HasCholesterolLevel')]",1511,1335,0.8841059602649006,1491,1335,0.8953722334004024,0.8897034321892702,1511,1344,0.8894771674387822
21,"[('high_cholesterol', 'HasCholesterolLevel')]",1528,1331,0.8716437459070072,1491,1331,0.8926894701542589,0.8820410868124586,1528,1347,0.881544502617801
22,"[('low_calorie', 'HasCalorieLevel')]",3928,1491,0.37977585328578706,1491,1491,1.0,0.5504892006645744,3928,3805,0.9686863543788188
23,"[('medium_calorie', 'HasCalorieLevel')]",2349,1434,0.6104725415070242,1491,1434,0.9617706237424547,0.746875,2349,2114,0.8999574286930608
24,"[('high_calorie', 'HasCalorieLevel')]",477,472,0.9915966386554622,1491,472,0.3165660630449363,0.4799186578546009,477,370,0.7756813417190775
25,"[('breakfast', 'isForMealType')]",552,547,0.9909420289855072,1491,547,0.36686787391012743,0.5354870288790993,552,414,0.75
26,"[('lunch', 'isForMealType')]",1014,960,0.9467455621301775,1491,960,0.6438631790744467,0.7664670658682635,1014,825,0.8136094674556213
27,"[('dinner', 'isForMealType')]",958,917,0.9582027168234065,1491,917,0.6150234741784038,0.7491830065359476,958,770,0.8037578288100209
28,"[('snack', 'isForMealType')]",839,817,0.9749403341288783,1491,817,0.5479543930248155,0.7015886646629454,839,702,0.8367103694874851
29,"[('dessert', 'isForMealType')]",1019,986,0.9676153091265947,1491,986,0.6613011401743796,0.7856573705179282,1019,848,0.8321884200196271
30,"[('starter', 'isForMealType')]",1147,1100,0.9598603839441536,1491,1100,0.7377598926894702,0.8342813803564658,1147,989,0.8622493461203139
31,"[('brunch', 'isForMealType')]",774,756,0.9767441860465116,1491,756,0.5070422535211268,0.6675496688741722,774,629,0.8126614987080103
32,"[('drink', 'isForMealType')]",451,450,0.9977827050997783,1491,450,0.30181086519114686,0.4634397528321318,451,339,0.7516629711751663
33,"[('vegetarian', 'hasDietType')]",1894,1457,0.7692713833157339,1491,1457,0.97719651240778,0.8608567208271787,1894,1755,0.926610348468849
34,"[('vegan', 'hasDietType')]",1564,1345,0.8605246321177223,1491,1345,0.9020791415157612,0.8808120497707925,1564,1385,0.8855498721227621
35,"[('paleo', 'hasDietType')]",407,405,0.995085995085995,1491,405,0.2716297786720322,0.4267650158061117,407,297,0.7297297297297297
36,"[('standard', 'hasDietType')]",1862,1448,0.7789133942980097,1491,1448,0.9711602951039571,0.8644776119402986,1862,1701,0.9135338345864662
37,"[('global', 'isFromRegion')]",1260,1215,0.9650516282764099,1491,1215,0.8148893360160966,0.8836363636363636,1260,1129,0.8960317460317461
38,"[('asia', 'isFromRegion')]",799,783,0.9799749687108886,1491,783,0.5251509054325956,0.6838427947598252,799,664,0.8310387984981227
39,"[('north_america', 'isFromRegion')]",1720,1439,0.8376018626309663,1491,1439,0.9651240778001341,0.8968526020567155,1720,1592,0.9255813953488372
40,"[('europe', 'isFromRegion')]",1273,1204,0.9457973291437549,1491,1204,0.8075117370892019,0.8712011577424024,1273,1118,0.8782403770620582
41,"[('middle_east', 'isFromRegion')]",487,480,0.9856262833675564,1491,480,0.32193158953722334,0.4853387259858444,487,345,0.7084188911704312
42,"[('latin_america_and_caribbean', 'isFromRegion')]",341,338,0.9912023460410557,1491,338,0.2266934942991281,0.3689956331877729,341,241,0.7067448680351907
43,"[('oceania', 'isFromRegion')]",476,470,0.9873949579831933,1491,470,0.3152246814218645,0.47788510421962377,476,365,0.7668067226890757
44,"[('africa', 'isFromRegion')]",398,395,0.992462311557789,1491,395,0.26492287055667335,0.4182106934886183,398,274,0.6884422110552764
45,"[('less_than_60_mins', 'needTimeToCook')]",1501,1345,0.8960692871419054,1491,1345,0.9020791415157612,0.8990641711229946,1501,1349,0.8987341772151899
46,"[('less_than_15_mins', 'needTimeToCook')]",1052,1021,0.970532319391635,1491,1021,0.6847753185781355,0.8029885961462838,1052,915,0.8697718631178707
47,"[('less_than_30_mins', 'needTimeToCook')]",1423,1328,0.9332396345748419,1491,1328,0.8906773977196513,0.9114619080301992,1423,1293,0.9086437104708363
48,"[('less_than_6_hours', 'needTimeToCook')]",651,643,0.9892307692307692,1491,643,0.4312541918175721,0.600653900046707,651,515,0.7910906298003072
49,"[('less_than_4_hours', 'needTimeToCook')]",1439,1308,0.9089645587213343,1491,1308,0.8772635814889336,0.8928327645051195,1439,1288,0.8950660180681028
50,"[('more_than_6_hours', 'needTimeToCook')]",688,680,0.9883720930232558,1491,680,0.45606975184439974,0.6241395135383203,688,565,0.8212209302325582
51,"[('salt_product', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,6335,0.937962688777021
52,"[('garlic_clove', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,5958,0.8821439147172047
53,"[('water_(eurofir)', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,6326,0.9366301450992005
54,"[('sugar', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,6192,0.916790050340539
55,"[('flour', 'contains')]",6754,1486,0.22014814814814815,1491,1486,0.9966465459423206,0.36063584516442176,6754,6205,0.9187148356529464
56,"[('chicken_egg', 'contains')]",6754,1489,0.2205925925925926,1491,1489,0.9986586183769283,0.36136391214658414,6754,6150,0.9105715131773764
57,"[('olive_oil', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,6017,0.8908794788273615
58,"[('butter', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,6210,0.91945513769618
59,"[('onion', 'contains')]",6754,1486,0.22014814814814815,1491,1486,0.9966465459423206,0.36063584516442176,6754,6135,0.9083506070476755
60,"[('black_pepper_(ground)', 'contains')]",6754,1488,0.22044444444444444,1491,1488,0.9979879275653923,0.3611212231525301,6754,6198,0.9176784127924194
61,"[('lemon_juice', 'contains')]",6754,1481,0.2194074074074074,1491,1481,0.9932930918846412,0.35942240019415117,6754,6186,0.9159016878886586
62,"[('milk', 'contains')]",6754,1489,0.2205925925925926,1491,1489,0.9986586183769283,0.36136391214658414,6754,6163,0.9124962984897839
63,"[('brown_sugar', 'contains')]",6754,1478,0.21896296296296297,1491,1478,0.9912810194500336,0.35869433321198885,6754,6065,0.8979863784424045
64,"[('tomato', 'contains')]",6754,1487,0.2202962962962963,1491,1487,0.9973172367538564,0.3608785341584759,6754,6084,0.9007995262066923
65,"[('pepper', 'contains')]",6754,1490,0.22074074074074074,1491,1490,0.9993293091884641,0.36160660114063825,6754,6175,0.9142730233935445
66,"[('baking_powder', 'contains')]",6754,1489,0.2205925925925926,1491,1489,0.9986586183769283,0.36136391214658414,6754,6376,0.9440331655315368
67,"[('cinnamon', 'contains')]",6754,1479,0.21911111111111112,1491,1479,0.9919517102615694,0.35893702220604295,6754,6268,0.9280426413976902
