Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,342,0.1171634121274409,342,342,1.0,0.20975160993560255,2920,2521,0.8633561643835617
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,298,0.45288753799392095,342,298,0.8713450292397661,0.5960000000000001,658,455,0.6914893617021277
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,57,0.6551724137931034,342,57,0.16666666666666666,0.26573426573426573,87,23,0.26436781609195403
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,289,0.44875776397515527,342,289,0.8450292397660819,0.5862068965517242,645,450,0.6976744186046512
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,259,0.5048732943469786,342,259,0.7573099415204678,0.6058479532163743,513,346,0.6744639376218323
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,101,0.7266187050359713,342,101,0.2953216374269006,0.41995841995842,139,51,0.3669064748201439
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,330,0.3016453382084095,342,330,0.9649122807017544,0.4596100278551532,1095,851,0.7771689497716895
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,257,0.5854214123006833,342,257,0.7514619883040936,0.6581306017925737,439,308,0.7015945330296127
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,143,0.5542635658914729,342,143,0.41812865497076024,0.4766666666666667,258,116,0.4496124031007752
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,342,0.1634018155757286,342,342,1.0,0.28090349075975357,2093,1816,0.8676540850453894
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,332,0.24684014869888476,342,332,0.9707602339181286,0.3935981031416716,1346,1018,0.7563150074294205
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,114,0.504424778761062,342,114,0.3333333333333333,0.4014084507042253,226,90,0.39823008849557523
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,196,0.6447368421052632,342,196,0.5730994152046783,0.6068111455108359,304,185,0.6085526315789473
14,"[('medium_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",718,305,0.42479108635097496,342,305,0.8918128654970761,0.5754716981132075,718,517,0.7200557103064067
15,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",275,172,0.6254545454545455,342,172,0.5029239766081871,0.5575364667747164,275,148,0.5381818181818182
16,"[('high_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",153,113,0.743421052631579,342,113,0.3304093567251462,0.4574898785425101,153,73,0.477124183006536
17,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",690,285,0.41304347826086957,342,285,0.8333333333333334,0.5523255813953489,690,456,0.6608695652173913
18,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",949,337,0.35548523206751054,342,337,0.9853801169590644,0.5224806201550387,949,774,0.815595363540569
19,"[('low_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",3130,342,0.10930009587727708,342,342,1.0,0.19706136560069143,3130,2783,0.8891373801916933
20,"[('low_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",466,232,0.4978540772532189,342,232,0.6783625730994152,0.5742574257425742,466,284,0.6094420600858369
21,"[('low_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",69,47,0.6811594202898551,342,47,0.13742690058479531,0.22871046228710462,69,25,0.36231884057971014
22,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",772,294,0.38132295719844356,342,294,0.8596491228070176,0.5283018867924528,772,529,0.6852331606217616
23,"[('medium_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",335,219,0.6537313432835821,342,219,0.6403508771929824,0.6469719350073855,335,215,0.6417910447761194
24,"[('medium_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",190,127,0.6684210526315789,342,127,0.3713450292397661,0.4774436090225564,190,92,0.4842105263157895
25,"[('high_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel')]",1082,332,0.3071230342275671,342,332,0.9707602339181286,0.46661981728742097,1082,849,0.7846580406654344
26,"[('high_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel')]",363,222,0.6115702479338843,342,222,0.6491228070175439,0.6297872340425532,363,228,0.628099173553719
27,"[('high_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel')]",347,173,0.5,342,173,0.5058479532163743,0.502906976744186,347,175,0.5043227665706052
28,"[('low_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",2179,340,0.15603487838458008,342,340,0.9941520467836257,0.2697342324474415,2179,1887,0.8659935750344194
29,"[('low_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",1250,333,0.266613290632506,342,333,0.9736842105263158,0.4186046511627907,1250,927,0.7416
30,"[('low_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",236,155,0.6567796610169492,342,155,0.45321637426900585,0.5363321799307958,236,134,0.5677966101694916
31,"[('medium_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",348,241,0.6925287356321839,342,241,0.7046783625730995,0.6985507246376812,348,244,0.7011494252873564
32,"[('medium_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",662,299,0.4516616314199396,342,299,0.8742690058479532,0.5956175298804781,662,474,0.716012084592145
33,"[('medium_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",287,172,0.5993031358885017,342,172,0.5029239766081871,0.546899841017488,287,155,0.5400696864111498
34,"[('high_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel')]",241,160,0.6639004149377593,342,160,0.4678362573099415,0.548885077186964,241,133,0.5518672199170125
35,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel')]",678,269,0.3967551622418879,342,269,0.7865497076023392,0.5274509803921569,678,430,0.6342182890855457
36,"[('high_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel')]",873,327,0.375,342,327,0.956140350877193,0.5387149917627676,873,699,0.8006872852233677
37,"[('low_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1969,337,0.17115286947689182,342,337,0.9853801169590644,0.2916486369536997,1969,1598,0.8115794819705434
38,"[('low_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",561,278,0.49554367201426025,342,278,0.8128654970760234,0.6157253599114064,561,389,0.6934046345811051
39,"[('low_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",1135,324,0.2854625550660793,342,324,0.9473684210526315,0.43872714962762355,1135,887,0.7814977973568282
40,"[('medium_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",786,310,0.39490445859872614,342,310,0.9064327485380117,0.5501330967169477,786,563,0.7162849872773537
41,"[('medium_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",189,157,0.8306878306878307,342,157,0.4590643274853801,0.5913370998116761,189,120,0.6349206349206349
42,"[('medium_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",322,236,0.7329192546583851,342,236,0.6900584795321637,0.710843373493976,322,225,0.6987577639751553
43,"[('high_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel')]",1125,327,0.2906666666666667,342,327,0.956140350877193,0.4458077709611452,1125,835,0.7422222222222222
44,"[('high_protein', 'HasProteinLevel'), ('medium_sugar', 'HasSugarLevel')]",346,239,0.6907514450867052,342,239,0.6988304093567251,0.694767441860465,346,240,0.6936416184971098
45,"[('high_protein', 'HasProteinLevel'), ('high_sugar', 'HasSugarLevel')]",321,208,0.6479750778816199,342,208,0.6081871345029239,0.6274509803921567,321,201,0.6261682242990654
46,"[('low_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",2891,342,0.11833910034602076,342,342,1.0,0.21163366336633663,2891,2604,0.9007263922518159
47,"[('low_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",635,281,0.44251968503937006,342,281,0.8216374269005848,0.5752302968270215,635,422,0.6645669291338583
48,"[('low_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",139,71,0.5107913669064749,342,71,0.20760233918128654,0.2952182952182952,139,45,0.3237410071942446
49,"[('medium_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",591,273,0.4619289340101523,342,273,0.7982456140350878,0.5852090032154341,591,387,0.6548223350253807
50,"[('medium_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",406,245,0.603448275862069,342,245,0.716374269005848,0.6550802139037434,406,272,0.6699507389162561
51,"[('medium_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",300,180,0.6,342,180,0.5263157894736842,0.5607476635514018,300,168,0.56
52,"[('high_protein', 'HasProteinLevel'), ('low_cholesterol', 'HasCholesterolLevel')]",233,105,0.45064377682403434,342,105,0.30701754385964913,0.3652173913043478,233,84,0.3605150214592275
53,"[('high_protein', 'HasProteinLevel'), ('medium_cholesterol', 'HasCholesterolLevel')]",470,222,0.47334754797441364,342,222,0.6491228070175439,0.5474722564734895,470,291,0.6191489361702127
54,"[('high_protein', 'HasProteinLevel'), ('high_cholesterol', 'HasCholesterolLevel')]",1089,337,0.30974264705882354,342,337,0.9853801169590644,0.47132867132867134,1089,896,0.82277318640955
55,"[('low_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",3086,342,0.11085899513776337,342,342,1.0,0.19959147942807118,3086,2835,0.9186649384316267
56,"[('low_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",534,233,0.4363295880149813,342,233,0.6812865497076024,0.5319634703196348,534,313,0.5861423220973783
57,"[('low_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",45,33,0.7333333333333333,342,33,0.09649122807017543,0.17054263565891473,45,14,0.3111111111111111
58,"[('medium_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",571,278,0.4868651488616462,342,278,0.8128654970760234,0.6089813800657174,571,385,0.6742556917688266
59,"[('medium_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",674,271,0.4020771513353116,342,271,0.7923976608187134,0.5334645669291339,674,452,0.6706231454005934
60,"[('medium_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",52,43,0.8269230769230769,342,43,0.12573099415204678,0.21827411167512686,52,19,0.36538461538461536
61,"[('high_protein', 'HasProteinLevel'), ('low_calorie', 'HasCalorieLevel')]",271,142,0.5259259259259259,342,142,0.4152046783625731,0.4640522875816993,271,123,0.45387453874538747
62,"[('high_protein', 'HasProteinLevel'), ('medium_calorie', 'HasCalorieLevel')]",1141,297,0.26029798422436456,342,297,0.868421052631579,0.4005394470667566,1141,843,0.7388255915863278
63,"[('high_protein', 'HasProteinLevel'), ('high_calorie', 'HasCalorieLevel')]",380,227,0.5989445910290238,342,227,0.6637426900584795,0.6296809986130375,380,243,0.6394736842105263
64,"[('low_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",271,159,0.5867158671586716,342,159,0.4649122807017544,0.5187601957585645,271,141,0.5202952029520295
65,"[('low_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",384,204,0.53125,342,204,0.5964912280701754,0.5619834710743801,384,218,0.5677083333333334
66,"[('low_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",204,131,0.6421568627450981,342,131,0.3830409356725146,0.47985347985347987,204,107,0.5245098039215687
67,"[('low_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",492,251,0.5101626016260162,342,251,0.7339181286549707,0.6019184652278177,492,310,0.6300813008130082
68,"[('low_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",793,289,0.3644388398486759,342,289,0.8450292397660819,0.5092511013215859,793,530,0.6683480453972257
69,"[('low_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",710,311,0.43802816901408453,342,311,0.9093567251461988,0.5912547528517111,710,507,0.7140845070422536
70,"[('low_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",406,217,0.5344827586206896,342,217,0.6345029239766082,0.5802139037433154,406,232,0.5714285714285714
71,"[('low_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",405,221,0.5456790123456791,342,221,0.6461988304093568,0.5917001338688086,405,249,0.6148148148148148
72,"[('medium_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",159,136,0.8553459119496856,342,136,0.39766081871345027,0.5429141716566865,159,92,0.5786163522012578
73,"[('medium_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",271,194,0.7158671586715867,342,194,0.5672514619883041,0.632952691680261,271,171,0.6309963099630996
74,"[('medium_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",132,105,0.7954545454545454,342,105,0.30701754385964913,0.4430379746835443,132,61,0.4621212121212121
75,"[('medium_protein', 'HasProteinLevel'), ('snack', 'isForMealType')]",179,140,0.7865168539325843,342,140,0.4093567251461988,0.5384615384615384,179,103,0.5754189944134078
76,"[('medium_protein', 'HasProteinLevel'), ('dessert', 'isForMealType')]",165,141,0.8545454545454545,342,141,0.41228070175438597,0.5562130177514794,165,103,0.6242424242424243
77,"[('medium_protein', 'HasProteinLevel'), ('starter', 'isForMealType')]",199,159,0.7989949748743719,342,159,0.4649122807017544,0.5878003696857672,199,121,0.6080402010050251
78,"[('medium_protein', 'HasProteinLevel'), ('brunch', 'isForMealType')]",155,129,0.832258064516129,342,129,0.37719298245614036,0.5191146881287726,155,85,0.5483870967741935
79,"[('medium_protein', 'HasProteinLevel'), ('drink', 'isForMealType')]",37,34,0.918918918918919,342,34,0.09941520467836257,0.17941952506596304,37,19,0.5135135135135135
80,"[('high_protein', 'HasProteinLevel'), ('breakfast', 'isForMealType')]",122,91,0.7459016393442623,342,91,0.26608187134502925,0.39224137931034486,122,65,0.5327868852459017
81,"[('high_protein', 'HasProteinLevel'), ('lunch', 'isForMealType')]",359,200,0.5571030640668524,342,200,0.5847953216374269,0.5706134094151213,359,207,0.5766016713091922
82,"[('high_protein', 'HasProteinLevel'), ('dinner', 'isForMealType')]",622,286,0.4605475040257649,342,286,0.8362573099415205,0.5939771547248183,622,450,0.7234726688102894
